Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Eef2,6.80897398939387,3.031915584177,0.216358277018586,14.0134023341134,1.2907030102677998e-44,3.5525809193766896e-44
Btg1,6.52027899688992,3.02419582886675,0.212139282410791,14.2557087706681,4.13086847463041e-46,1.1491144917437099e-45
Crip1,6.63488663156069,2.99973774581498,0.252745470271605,11.8686113052448,1.72303969564211e-32,4.26673017611566e-32
Rpl5,7.24602390787443,2.93169007841111,0.214196254631115,13.6869343652158,1.2152940110433699e-42,3.28696100396186e-42
Cfl1,6.23410834117257,2.92987418934687,0.210691453843634,13.9059944572849,5.82515592910612e-44,1.5940924744395297e-43
Rps21,10.3303765172915,2.91998601689144,0.189577542499007,15.4025945183182,1.57231968799952e-53,4.63308426269123e-53
Rpl22,6.98321177384232,2.89723685397233,0.210926835570911,13.7357432312036,6.2016375539457186e-43,1.68081765480772e-42
Coro1a,6.54327399274182,2.86347078311831,0.21953740905257,13.0432020468668,6.94766978599506e-39,1.83073378510319e-38
S100a11,4.6725226816496,2.75918490510711,0.247205699578152,11.1614938887556,6.29252001094744e-29,1.50467038282848e-28
Hsp90ab1,6.19636591520374,2.75241574645899,0.224294354168038,12.2714446231532,1.28932190679541e-34,3.25684023879604e-34
S100a6,4.24274686772745,2.75123768653841,0.251860827715806,10.9236426779429,8.88589686737646e-28,2.09694311246406e-27
Vim,4.33281918791698,2.74135803380986,0.241736964084216,11.3402517657781,8.29056049713155e-30,1.99938673111696e-29
Gnb2l1,6.52098645850303,2.74057648934434,0.21121142428793,12.9755125632233,1.68465586692454e-38,4.42460559765841e-38
Hspa8,7.87904276802426,2.72306268389094,0.209249112091956,13.0134969590422,1.02540065878968e-38,2.69719901178238e-38
Cyba,5.41524388571074,2.71727100264858,0.223974537806292,12.1320531756099,7.1435605263875895e-34,1.79362125770771e-33
Plac8,5.43361286874569,2.71545145311189,0.284586033234693,9.54175938378714,1.40429374587552e-21,3.06519479551336e-21
Calm1,5.33394834207193,2.69593813338169,0.213928526741891,12.6020506682327,2.05725244865942e-36,5.28487095570974e-36
Ppia,10.8357903534499,2.6640167307419,0.193824974678853,13.744445137454,5.4993042450708185e-43,1.4916273400503897e-42
Rpl23a,19.5045456947449,2.61579708204288,0.195107949319833,13.4069221226599,5.507758996481899e-41,1.4762773792880898e-40
H2-Eb1,7.8493093439577,2.58472874167581,0.287610676485702,8.98690122793238,2.54298986749466e-19,5.393907805088229e-19
Arpc2,4.58202343103469,2.57156117820649,0.208673666803877,12.3233622027804,6.78071350940505e-35,1.7157210140133e-34
AW112010,4.5774613369733,2.54259292461846,0.277735301959104,9.15473440604556,5.44916853743597e-20,1.1671998262378199e-19
Fxyd5,4.09168933408433,2.54209948189366,0.22073192815079,11.51668226337,1.0871691305417698e-30,2.6469323047705296e-30
H3f3a,8.42867154577197,2.53088656061721,0.201266948191175,12.5747748617583,2.9062705427890898e-36,7.453074052252059e-36
Arpc1b,4.79622269951524,2.49440022237359,0.206613479790297,12.0727854973707,1.4707037340246899e-33,3.68116686243534e-33
Ctsd,3.63837982843371,2.46599600548515,0.235201551388078,10.4846077372011,1.01666659578142e-25,2.3384003657100697e-25
Cox4i1,4.65872478587065,2.45348919443873,0.204048240508545,12.0240644483087,2.65579171904775e-33,6.63312572891351e-33
