Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Bcap31,2.07787272550054,0.436618661160127,0.21819802553094,2.0010202204979,0.0453902108505395,0.0674553453778836
Pxmp4,1.37821190234443,0.435406380432663,0.218529963380357,1.99243331988679,0.0463235345288964,0.0688227836177144
Ehd2,1.28602156714841,0.432565349826506,0.224115301221577,1.93010181575617,0.0535942235276283,0.0789061759453447
Adcy4,1.30834539823259,0.43213125484254,0.225288362314944,1.9181250660362,0.055095154821421,0.0810702489549874
Wbp5,1.61355412183617,0.426414862380714,0.220279040193743,1.93579408193202,0.0528929260377136,0.0779286124518389
Ak3,1.33013921142366,0.423576107913715,0.22517356923281,1.88110935647058,0.0599570444930919,0.0876069341508578
Hk1,1.35886420989187,0.422824141645033,0.22409702906412,1.88679048272457,0.0591885117242767,0.0865809250947806
Hsd17b11,1.39096317402151,0.420121284744214,0.224417802745046,1.87204971978761,0.0611997252008587,0.089335169336824
Atp2b4,1.28855073133205,0.416984602382221,0.223074904880905,1.86925823236299,0.0615868960900124,0.0898752020100265
Fkbp4,1.82605615999411,0.416042351610959,0.216364631592783,1.92287597352781,0.0544956278387837,0.080199373362969
Tjp2,1.29621828063743,0.413588995774324,0.22262237830681,1.85780512686973,0.0631966928211507,0.0921728797223823
Ptges3,1.98099298361168,0.40922992673492,0.217647043704641,1.88024573993418,0.0600745944669634,0.0877418531386538
2010001M09Rik,1.89641495438643,-1.55876808799439,0.219067086229542,-7.11548281772045,1.11521739653911e-12,2.2673553300619898e-12
Cr2,1.61221226490008,-1.28533581581743,0.211881594487831,-6.06629291668489,1.3089630939359701e-9,2.5231858753123303e-9
Rpl12,12.7415334813098,-1.23458247803824,0.251782580102836,-4.9033673319814,9.42075771000126e-7,1.70869893141788e-6
H2-Oa,1.6523780343077,-1.21203379041511,0.212382609204463,-5.70684104011675,1.15092174195244e-8,2.17477339112823e-8
Chchd10,1.60121984890439,-1.12650651602105,0.212074788412373,-5.31183609543717,1.08526192794068e-7,2.00960172538147e-7
H2-Ob,1.64530030936869,-1.11064886597188,0.212487460710448,-5.22689132929748,1.72383747144504e-7,3.18359511797031e-7
Bank1,1.51132087527959,-1.01861121096651,0.212788636800277,-4.78696243504099,1.69324511712976e-6,3.05047092715007e-6
Cd83,1.54782975138977,-0.927679464032788,0.221531621128483,-4.18757132416214,2.81955427660973e-5,4.93977960191401e-5
Swap70,1.49712298724636,-0.910727973493769,0.215459223554729,-4.22691569415424,2.36916381232684e-5,4.16118273901282e-5
Pyhin1,1.61113922408955,-0.893308352703481,0.210406123387709,-4.2456385694508,2.17971749539691e-5,3.83424610816238e-5
Sp140,1.52764359229358,-0.863398599029606,0.216149282522285,-3.99445507731718,6.48432138718515e-5,1.1250841828521e-4
Cd22,1.45047243532352,-0.834326240997115,0.216767766770292,-3.84894052020772,1.1862980569479e-4,2.0393465691645e-4
Vpreb3,1.42335950377156,-0.82454922345197,0.217338715118509,-3.79384419845476,1.4833276856439e-4,2.5399280036285e-4
Top2b,1.53877158448004,-0.772303717427758,0.212730415690842,-3.6304339222941,2.8294513689787e-4,4.797705423443e-4
Scd1,1.42672867788,-0.743264227549121,0.218660657562763,-3.39916762271594,6.7591277908081e-4,0.00113085407269289
Pou2af1,1.39606793094371,-0.71160472391362,0.219410039678145,-3.24326418680512,0.00118168584327343,0.00195853313284246
Bod1l,1.44061036626146,-0.689855208174943,0.219604249346009,-3.14135637279042,0.00168167268824491,0.00277050068885543
Tspan32,1.50572543699156,-0.682701516023997,0.214523583491016,-3.18240775636022,0.00146056032231779,0.00241346150126587
Mif4gd,1.53528329867617,-0.682657683639467,0.214428441419838,-3.18361537825509,0.00145448134661412,0.00240379693820666
Fcrla,1.4232306938054,-0.65718484281643,0.220983505166077,-2.97390903598227,0.00294032225945321,0.00477773764804537
Blnk,1.35596481496343,-0.657138109149661,0.220305182888624,-2.98285360577232,0.00285574553211561,0.00464319940122831
Pmf1,1.44485973065638,-0.657020727956705,0.221259506425287,-2.96945762273298,0.00298325956823715,0.00484373715278317
Eml4,1.39477698154818,-0.645982493379609,0.220411935225635,-2.93079634148813,0.00338094352115145,0.0054698667845686
4930420K17Rik,1.42966512318336,-0.645860869835567,0.220804026471198,-2.92504117863002,0.00344410645155345,0.00556860327616819
Fam65b,1.43053916240751,-0.623418415377262,0.221418227388727,-2.81556953431289,0.00486908588560289,0.00780728868771221
Dapl1,1.44267525166838,-0.623305626019557,0.226211539852618,-2.75541038457037,0.00586185600746936,0.00936175259568305
Pxk,1.37868310180773,-0.612007321727566,0.221429420154969,-2.7638934397211,0.00571161885128,0.00912739948069236
Eef1a1,31.0843746279976,-0.606088632655517,0.260948389293432,-2.32263795264887,0.0201986100764372,0.0310747847329802
Llph,1.80513754887499,-0.605495512933582,0.203851072871434,-2.97028367035115,0.00297524872953825,0.00483148183798092
Cd19,1.51756069327377,-0.604639004518422,0.207100042366039,-2.91955036614504,0.00350536744667002,0.00566502107480418
Gpr183,1.40679264193302,-0.588920064995189,0.222215767253551,-2.650217274291,0.00804400212694289,0.012760884699177
Ash1l,1.4212241550316,-0.577224228568571,0.222579750299423,-2.5933366705285,0.00950496739983153,0.0149965028947017
Dtx1,1.35525699901284,-0.570705668086884,0.219719880221411,-2.59742389952055,0.00939259304637063,0.0148281674586586
Fcrl1,1.33645694674282,-0.565530595378898,0.222449603968228,-2.54228636639727,0.0110129902185864,0.0172765766915164
Cd38,1.39496310708667,-0.565480435684894,0.222642551664444,-2.53985786390536,0.0110897527254471,0.0173891586743268
Nipbl,1.41630821910399,-0.565335158836002,0.222787485530384,-2.53755347832992,0.011163031131458,0.0174935522384302
Runx3,1.41301799790287,-0.565189457179277,0.22334961531957,-2.53051457630944,0.011389535240765,0.0178217547832114
Spib,1.37947627126388,-0.559386306970826,0.220243013825972,-2.53985948182144,0.0110897014269306,0.0173891586743268
Cdk12,1.39415121706737,-0.553557061399577,0.222954449654612,-2.48282580705214,0.0130344809574715,0.0203074139973143
Rbm17,1.41352779130107,-0.553501895085843,0.223061971955384,-2.4813816995958,0.0130874144520904,0.0203868407758616
B3gnt2,1.40132832406783,-0.541545833574423,0.223396232353811,-2.42414935949651,0.0153442932140734,0.023806571727586
Yy1,1.33874573668649,-0.541503162106814,0.223026755717428,-2.42797399067622,0.0151834321047692,0.0235640004717988
Mier1,1.39727000732074,-0.541474633635403,0.223603713570267,-2.42158157836339,0.0154531321217411,0.0239611910516823
Sp100,1.36340676818813,-0.529561023544158,0.223466038123587,-2.36976064904898,0.0177996039764492,0.027485263350707
Gpr171,1.38678997756017,-0.52953914989196,0.223659025373307,-2.36761806955079,0.0179030066319913,0.0276367572435293
Nop58,1.36964835704591,-0.52938519317309,0.223612197065333,-2.36742539146207,0.0179123311748816,0.0276470634928687
Gpr18,1.39772900493515,-0.52752904129237,0.21935334891532,-2.40492813946514,0.0161756461931398,0.0250257478151126
Pa2g4,1.59552023974296,-0.52163693060511,0.210754620907642,-2.47509130930849,0.0133202115931346,0.020727829636656
Snn,1.33208560444164,-0.517412664234121,0.223695631342319,-2.31302087183961,0.0207214916240782,0.0318698250670855
Stag2,1.38592226323975,-0.517411086408388,0.223918044468229,-2.31071634998045,0.0208485275425722,0.0320510421947362
Brwd1,1.3352017490075,-0.517385848604294,0.223757830407694,-2.31225806784773,0.0207634659943733,0.031929678153079503
Bmyc,1.43358200948456,-0.512421807982,0.221428898760489,-2.31415958282964,0.020658970079933,0.0317783479644174
Slc38a1,1.35910286114658,-0.505139128867056,0.224163562413174,-2.25343995888143,0.024231422434848,0.0370443769541387
Lax1,1.28853285140108,-0.505109681448448,0.223847420508372,-2.25649096291265,0.0240399006381952,0.0367677355204743
Foxo1,1.34743622358474,-0.50510647037581,0.22397601446557,-2.25518108080031,0.0241219649542928,0.0368878444591792
Ssbp1,1.37023284357581,-0.505078155508837,0.224061128163616,-2.25419803804618,0.0241837121721669,0.0369768534091128
Phgdh,1.3808729761297,-0.505019791998139,0.224758423269583,-2.24694489599796,0.0246435489675118,0.0376358471651293
Eprs,1.3890670877703,-0.504927769021479,0.224465961823291,-2.24946252393928,0.0244830845530143,0.0374072007512761
Gtpbp4,1.41338326287966,-0.496518022573733,0.22324430724783,-2.2241016073146,0.026141608787602,0.0397956249260083
Itsn2,1.36574768006066,-0.492591616165245,0.224428101739096,-2.19487493922618,0.0281725699621456,0.0428249316256261
Prpf4b,1.56392938577195,-0.483734471408389,0.210216355244787,-2.3011267170202,0.0213844695844511,0.0328073273272108
Strbp,1.28050668362988,-0.48021854331812,0.224443080762817,-2.13960056904404,0.032387060599397,0.0489746397244647
Wdr43,1.31493081140486,-0.480105653506658,0.224752538699796,-2.13615230459283,0.0326670016122527,0.0493908033065776
Baz1b,1.37734367030447,-0.471869193560058,0.223577441340907,-2.1105402706553,0.0348118462682473,0.0524665331370726
Pisd-ps3,1.37423313747517,-0.46760805052867,0.225624404214989,-2.0725065276321,0.038218228125166,0.0574180891677556
Rhof,1.37864840630087,-0.467599379965569,0.225439270908208,-2.07417003293966,0.0380635222860708,0.0572268393817078
Acbd6,1.3701755080559,-0.467544580273078,0.225206434348091,-2.07607114613083,0.0378873713359911,0.0570112650256194
Xrn2,1.5615297044405,-0.465594813122099,0.212342376762581,-2.19266083492453,0.0283318245140056,0.043036574223216
Plekha2,1.42568321044057,-0.463876294155904,0.222515861575396,-2.08468866386285,0.0370975703270247,0.0558630656590419
Diap1,1.40540903343608,-0.459407721009532,0.224030754801182,-2.05064577592143,0.0403014550883829,0.0604001135691527
Hadha,1.38155200133225,-0.454944064966629,0.225652317226969,-2.01612848721172,0.043786541901623,0.06537921874327
Traf3ip3,1.37056001098399,-0.454941301683339,0.225768098141962,-2.01508231423057,0.0438960250045534,0.0654584346589826
Prr5,1.2998616737847,-0.454906138557245,0.22525948615587,-2.01947605546107,0.0434377635782059,0.0649327393694831
Rexo1,1.3231501894605,-0.454886471031619,0.225307369867374,-2.0189595719811,0.0434914216384552,0.0649943375186762
Psmd11,1.35406008270708,-0.454858184644764,0.225404361542498,-2.0179653203339,0.0435948732302861,0.0651396130705864
H2-Ke6,1.37407203633854,-0.454855063438771,0.225692644080633,-2.01537389617478,0.0438654874391393,0.0654446322583203
Phf14,1.33844904593599,-0.454849103911925,0.225619509178176,-2.01600076858922,0.0437998954205481,0.0653898052610499
Lsm12,1.35851330380048,-0.454836232843048,0.225591838935911,-2.01619098894913,0.0437800083351729,0.0653788137632963
Rogdi,1.29138876341882,-0.454812037193466,0.225486178508716,-2.01702845026435,0.0436925444096844,0.0652668713173709
Fh1,1.34207909189215,-0.454807403290171,0.225648108421138,-2.01556045150329,0.0438459587904669,0.065439858437809
Brix1,1.37027861966987,-0.454793917471912,0.225687406911505,-2.01514973163851,0.0438889627409939,0.0654572530022823
Batf,1.33970013002601,-0.453927616519833,0.229366602173811,-1.97904844130643,0.0478105525705511,0.0709650736996666
Akap9,1.35136471079188,-0.44211705419155,0.225902301901807,-1.95711619788507,0.0503338084483242,0.0744840482211914
Zranb2,1.36219351321246,-0.442113803140788,0.225869232708126,-1.95738834298029,0.0503018279658704,0.07447895106562
Cd2ap,1.36562388016579,-0.442111777489157,0.225896089482834,-1.95714666199547,0.0503302276842257,0.0744840482211914
Tigd2,1.31577610785056,-0.442102296841602,0.225651938273027,-1.95922224389086,0.050086765213785,0.0742658470149006
2810008M24Rik,1.37009104243263,-0.442099843818163,0.225874299041976,-1.95728263770286,0.0503142476464482,0.0744790588124364
Map4k1,1.33070657683741,-0.442098574846492,0.225952180498099,-1.95660238317643,0.050394234615858,0.0745417695366332
Pdcd2,1.3233597440389,-0.442092470915369,0.225657296422093,-1.95913217930447,0.0500973091192782,0.0742709325767203
2810021B07Rik,1.35432229405207,-0.442089293935113,0.225846538173004,-1.9574765126418,0.0502914705712199,0.07447895106562
Zmynd11,1.37861491235252,-0.442079820499621,0.225921093701146,-1.95678859931696,0.0503723280133975,0.0745304853259453
Lpxn,1.3777283960026,-0.442075338930117,0.226087392469651,-1.95532945955604,0.0505441961905308,0.0747318238534402
Strn4,1.36210542784191,-0.442064649276235,0.226227964625483,-1.95406721714562,0.0506932684493076,0.0748885980770866
Nktr,1.31539083524637,-0.442061734213842,0.225649167016288,-1.959066545909,0.0501049940252019,0.0742717787339355
Cnot4,1.33046663312771,-0.442059928193194,0.225767994253695,-1.95802744164194,0.0502267927579519,0.0744311875646583
Copb1,1.35065791658552,-0.44203644817268,0.225800678646193,-1.95764003378088,0.0502722662805395,0.0744668643542611
Fam189b,1.37441199051865,-0.442018387786767,0.226185195470873,-1.95423218069853,0.0506737651687394,0.074882586130297
Nab1,1.37665347002322,-0.441965584319189,0.226139878292202,-1.95439029885792,0.0506550771046307,0.0748745582574465
Cmah,1.33187917353345,-0.439031238695772,0.222781960429841,-1.97067679020642,0.0487608569651199,0.0723512431375571
BC017643,1.36227680203923,-0.429178515326672,0.226261243015256,-1.89682735587966,0.0578507276012104,0.0849931883136274
